UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel,HitObjectVariant,HitNormalX,HitNormalY,HitNormalZ,GazeValid,GazeHit
1765776985243,2025-12-15 13:36:25.243,1425.346000,2.053223,23,15,2,-0.020991,0.002494,-0.029469,-0.537415,0.279633,0.795593,-25.917400,1.678371,26.777260,0.277857,0.374604,0.884559,-24.3210926,3.83049512,31.8591099,5.74499893,Building,Surface,4.672928,4.855621,0.000000,0.000000,-25.881480,1.683335,26.776840,349.193100,54.645520,5.227885,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985253,2025-12-15 13:36:25.253,1425.358000,2.064331,23,15,2,-0.012290,0.003281,-0.029518,-0.566666,0.262054,0.781143,-25.912900,1.679852,26.769880,0.251664,0.352348,0.901378,-24.5037289,3.65279531,31.81707,5.59932184,Building,Surface,4.606064,4.942535,0.000000,0.000000,-25.881690,1.683291,26.776720,349.168400,54.540900,5.232702,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985264,2025-12-15 13:36:25.264,1425.369000,2.075317,23,15,2,-0.012290,0.003281,-0.029518,-0.566666,0.262054,0.781143,-25.912990,1.679868,26.769730,0.250357,0.352792,0.901569,-24.5119152,3.65420079,31.8151875,5.59621716,Building,Surface,4.606064,4.942535,0.000000,0.000000,-25.881790,1.683315,26.776610,349.146500,54.464240,5.216355,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985276,2025-12-15 13:36:25.276,1425.380000,2.086426,23,15,2,0.015615,0.006064,-0.030316,-0.583801,0.243408,0.774536,-25.898580,1.684909,26.746060,0.238213,0.332145,0.912640,-24.5795212,3.52409744,31.7996254,5.53724384,Building,Surface,4.594772,5.060181,0.000000,0.000000,-25.881960,1.683305,26.776400,349.133700,54.403930,5.196733,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985287,2025-12-15 13:36:25.287,1425.391000,2.097534,23,15,2,-0.004802,0.004018,-0.029778,-0.571030,0.270233,0.775162,-25.909300,1.681208,26.762970,0.239880,0.360272,0.901465,-24.5683613,3.69514298,31.8021946,5.58997726,Building,Surface,4.563080,4.864136,0.000000,0.000000,-25.881980,1.683330,26.776220,349.108100,54.376060,5.165701,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985298,2025-12-15 13:36:25.298,1425.402000,2.108521,23,15,2,0.031658,0.007573,-0.030267,-0.275528,0.191010,0.942108,-25.889790,1.687863,26.732480,0.556386,0.340610,0.757884,-21.5679092,4.3336463,32.6195526,7.76765251,Building,Surface,4.224655,4.452286,0.000000,0.000000,-25.882020,1.683383,26.776010,349.099700,54.351730,5.162779,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.447065234,0,-0.894501388,1,1
1765776985309,2025-12-15 13:36:25.309,1425.413000,2.119751,23,15,2,0.031658,0.007573,-0.030267,-0.275528,0.191010,0.942108,-25.889870,1.687927,26.732240,0.556404,0.340601,0.757874,-21.5674477,4.33388376,32.6197815,7.76836872,Building,Surface,4.224655,4.452286,0.000000,0.000000,-25.882100,1.683444,26.775770,349.098300,54.354010,5.168681,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.447065234,0,-0.894501388,1,1
1765776985320,2025-12-15 13:36:25.320,1425.424000,2.130981,23,15,2,0.015615,0.006064,-0.030316,-0.583801,0.243408,0.774536,-25.898680,1.685032,26.745130,0.237082,0.333024,0.912614,-24.5859909,3.52893591,31.7981377,5.53678656,Building,Surface,4.594772,5.060181,0.000000,0.000000,-25.882090,1.683459,26.775490,349.088400,54.345730,5.167162,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985331,2025-12-15 13:36:25.331,1425.435000,2.141968,23,15,2,-0.004802,0.004018,-0.029778,-0.571030,0.270233,0.775162,-25.909430,1.681370,26.761980,0.239241,0.360469,0.901556,-24.5721664,3.69624877,31.8013191,5.58953905,Building,Surface,4.563080,4.864136,0.000000,0.000000,-25.882130,1.683506,26.775230,349.081500,54.344600,5.179139,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985342,2025-12-15 13:36:25.342,1425.446000,2.152954,23,15,2,-0.004802,0.004018,-0.029778,-0.571030,0.270233,0.775162,-25.909470,1.681388,26.761680,0.238871,0.360708,0.901558,-24.5743313,3.69751811,31.8008213,5.58930349,Building,Surface,4.563080,4.864136,0.000000,0.000000,-25.882170,1.683532,26.774950,349.068600,54.325010,5.171590,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.224303305,0,-0.974519312,1,1
1765776985353,2025-12-15 13:36:25.353,1425.457000,2.164185,23,15,2,0.015790,0.005657,-0.028226,-0.174774,0.239044,0.955139,-25.896960,1.685182,26.745310,0.613609,0.399637,0.680994,-11.5948429,11,42.6180534,23.3079453,Building,Surface,4.242584,4.434418,0.000000,0.000000,-25.882230,1.683618,26.774610,349.060900,54.333730,5.139405,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985365,2025-12-15 13:36:25.365,1425.469000,2.175293,23,15,2,0.002865,0.003867,-0.025407,0.002579,0.210281,0.977631,-25.901660,1.682832,26.757250,0.737973,0.391781,0.549445,-8.35150719,11,39.8239098,23.7814102,Building,Surface,4.412170,4.439804,0.000000,0.000000,-25.882230,1.683633,26.774290,349.036700,54.332030,5.085606,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985376,2025-12-15 13:36:25.376,1425.480000,2.186401,23,15,2,0.001835,0.003919,-0.025542,0.110199,0.152451,0.982132,-25.902420,1.682817,26.757690,0.814857,0.345676,0.465280,-3.93915439,10.999999,39.2986183,26.9530983,Building,Surface,4.532043,4.208679,0.000000,0.000000,-25.882280,1.683694,26.773960,349.015000,54.372790,5.007894,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985387,2025-12-15 13:36:25.387,1425.491000,2.197510,23,15,2,0.001835,0.003919,-0.025542,0.110199,0.152451,0.982132,-25.902430,1.682889,26.757310,0.815043,0.346076,0.464655,-3.95971513,11.000001,39.2668228,26.9217224,Building,Surface,4.532043,4.208679,0.000000,0.000000,-25.882290,1.683782,26.773570,348.983200,54.398370,4.936902,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985398,2025-12-15 13:36:25.398,1425.502000,2.208618,23,15,2,0.001187,0.003879,-0.026057,0.289795,0.173401,0.941238,-25.903270,1.682743,26.757160,0.880104,0.374077,0.292340,-3.98223662,11.000001,34.0385704,24.9070644,Building,Surface,4.511871,4.175156,0.000000,0.000000,-25.882350,1.683843,26.773170,348.955100,54.440390,4.877443,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985409,2025-12-15 13:36:25.409,1425.513000,2.219727,23,15,2,0.000547,0.003535,-0.025623,0.610382,0.209549,0.763870,-25.903220,1.682476,26.757570,0.912378,0.402568,-0.074029,-4.7860322,11,25.0441494,23.1449261,Building,Surface,5.164841,4.381821,0.000000,0.000000,-25.882340,1.683906,26.772780,348.903900,54.468750,4.852026,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985420,2025-12-15 13:36:25.420,1425.524000,2.230835,23,15,2,0.000547,0.003535,-0.025623,0.610382,0.209549,0.763870,-25.903330,1.682501,26.757100,0.912280,0.402707,-0.074471,-4.79575062,11,25.03405,23.1368618,Building,Surface,5.164841,4.381821,0.000000,0.000000,-25.882450,1.683943,26.772310,348.876900,54.486560,4.833152,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985431,2025-12-15 13:36:25.431,1425.535000,2.241821,23,15,2,0.001835,0.003919,-0.025542,0.110199,0.152451,0.982132,-25.902690,1.683047,26.755690,0.815505,0.348141,0.462297,-4.07813454,11,39.1276894,26.7615948,Building,Surface,4.532043,4.208679,0.000000,0.000000,-25.882510,1.684006,26.771920,348.844300,54.512140,4.817832,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985443,2025-12-15 13:36:25.443,1425.546000,2.253052,23,15,2,0.001187,0.003879,-0.026057,0.289795,0.173401,0.941238,-25.903550,1.682923,26.755580,0.880049,0.376049,0.289964,-4.09926462,11,33.9398003,24.7759571,Building,Surface,4.511871,4.175156,0.000000,0.000000,-25.882600,1.684093,26.771550,348.805100,54.547080,4.803878,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1765776985454,2025-12-15 13:36:25.454,1425.557000,2.264282,23,15,2,-0.004199,0.003123,-0.025729,0.604492,0.198929,0.771362,-25.906220,1.681888,26.759830,0.916576,0.394209,-0.066868,-4.24065542,11,25.1792355,23.6373005,Building,Surface,5.042496,4.393402,0.000000,0.000000,-25.882640,1.684192,26.771150,348.763300,54.573440,4.785532,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
